movie_id,person_id,character_name,gender_id,cast_order
285,85,"Captain Jack Sparrow",2,0
285,114,"Will Turner",2,1
285,116,"Elizabeth Swann",1,2
285,1640,"William Bootstrap Bill Turner",2,3
285,1619,"Captain Sao Feng",2,4
285,2440,"Captain Davy Jones",2,5
285,118,"Captain Hector Barbossa",2,6
285,1709,"Admiral James Norrington",2,7
285,2449,"Joshamee Gibbs",2,8
285,2441,"Lord Cutler Beckett",2,9
285,2038,"Tia Dalma",1,10
285,378,"Governor Weatherby Swann",2,11
285,1430,"Captain Teague Sparrow",2,12
285,1710,Pintel,2,13
285,1711,Ragetti,2,14
285,4031,"Lieutenant Theodore Groves",2,15
285,1715,Cotton,2,16
285,4030,Marty,2,17
285,939,"Ian Mercer",0,18
285,2450,Scarlett,1,19
285,2452,Giselle,1,20
285,1714,Mullroy,2,21
285,1713,Murtogg,0,22
285,22075,"Tai Huang",2,23
285,61259,"Henry Turner",2,24
285,33500,"Mistress Ching",1,25
285,1224149,"Lieutenant Greitzer",2,26
285,429401,Hadras,2,27
285,1123,Clacker,0,28
285,1056117,Penrod,2,29
285,21700,"Cotton's Parrot (voice)",2,30
285,1430,"Captain Teague",2,31
285,2603,"Captain Jocard",2,32
285,70577,"Captain Ammand",0,33
559,2219,"Peter Parker / Spider-Man",2,0
559,205,"Mary Jane Watson",1,1
559,17051,"Harry Osborn / New Goblin",2,2
559,19159,"Flint Marko / Sandman",2,3
559,17052,"Eddie Brock / Venom",2,4
559,18997,"Gwen Stacey",1,5
559,18998,"May Parker",1,6
559,2505,"Captain Stacey",2,7
559,18999,"J. Jonah Jameson",2,8
559,9207,"Mrs. Marko",1,9
559,19152,"Dr. Curt Connors",2,10
559,5502,"Joseph Robertson",2,11
559,9281,"Miss Brant",1,12
559,11769,Hoffman,2,13
559,6585,"Penny Marko",1,14
559,5293,"Norman Osborn / Green Goblin",2,15
559,19153,"Ben Parker",0,16
559,2368,"Mr. Ditkovitch",2,17
559,20645,Ursula,1,18
